,Latitude_Degrees,Longitude_Degrees,Date,Percent_Bleached_Sum,Percent_Cover_Sum
708,-18.54635,146.48803,2002-02-15,5.0,
709,-18.54635,146.48803,2002-02-15,5.0,
711,-18.54628,146.48752,2002-02-15,5.0,
712,-18.4448,146.99328,2002-02-15,37.5,
713,-18.44432,146.99333,2002-02-15,37.5,
714,-23.20148,150.9701,2002-02-15,75.0,
715,24.627,-81.11,2004-08-15,17.5,
716,24.456,-81.877,2005-08-15,37.5,
717,24.627,-81.11,2005-08-15,75.0,
718,25.012,-80.376,2005-08-15,37.5,
719,-23.43843,151.91818,2006-02-25,5.0,
720,-23.43843,151.91818,2007-02-25,0.0,
751,-23.20148,150.9701,2010-12-21,0.0,
752,-23.20046,150.97062,2010-12-21,0.0,
753,-23.15483,150.903625,2010-12-21,0.0,
754,-23.08645,150.905183,2010-12-21,0.0,
755,-23.08645,150.905183,2010-12-21,0.0,
756,-23.20148,150.9701,2011-05-23,75.0,
757,-23.20046,150.97062,2011-05-23,75.0,
758,-23.08645,150.905183,2011-05-23,37.5,
759,24.44963,-81.9081,2011-09-08,35.48,
760,24.45044,-81.89094,2011-09-28,15.24,
761,24.45112,-81.92292,2009-08-27,4.76,
762,24.4512,-82.15572,2007-10-11,21.88,
763,24.45145,-81.87998,2007-09-23,19.66,
764,24.45154,-81.8791,2011-09-28,28.03,
765,24.4517,-81.8798,2015-02-12,2.75,
766,24.4517,-81.8798,2015-09-30,43.59,
767,24.4517,-81.8798,2016-03-03,2.96,
768,24.45198,-81.8775,2007-09-23,19.7,
769,24.452,-81.8775,2015-02-12,1.48,
770,24.452,-81.8775,2015-09-30,35.85,
771,24.45211,-81.87733,2016-03-03,1.15,
772,24.45233333,-81.8834,2006-02-23,0.0,
773,24.45235,-81.87652,2007-09-23,19.14,
774,24.4524,-81.88335,2005-09-12,13.82,
775,24.4525,-81.87542,2008-10-08,0.0,
776,24.45341,-81.88295,2008-10-08,0.0,
777,24.45345,-81.85738,2010-08-20,4.39,
778,24.45352,-82.19483,2007-10-11,22.92,
779,24.45464,-81.85929,2016-09-07,10.61,
780,24.45467,-81.92623,2010-08-20,23.46,
781,24.45523,-81.85938,2010-08-20,26.67,
782,24.45534,-81.8516,2009-09-01,15.38,
783,24.45576,-81.89445,2008-10-08,4.76,
784,24.45588333,-81.91321667,2006-09-05,9.88,
785,24.4559,-81.92136,2016-09-06,21.37,
786,24.45625,-81.91809,2016-09-14,20.37,
787,24.45679,-81.91675,2016-09-06,16.67,
788,24.4574,-81.9131,2006-02-23,1.28,
789,24.4579,-81.89518333,2005-09-27,15.83,
790,24.45802,-82.1657,2007-10-11,28.57,
791,24.45835,-81.8838,2008-10-07,3.51,
792,24.45852,-81.93043,2012-09-27,0.0,
793,24.45872,-82.2061,2007-10-11,37.5,
794,24.45894,-81.84563,2009-08-28,14.29,
795,24.45895,-81.84168,2009-08-28,38.24,
796,24.45902,-81.90908,2010-08-19,15.19,
797,24.45907,-81.9107,2008-10-10,5.34,
798,24.45955,-81.85565,2006-02-24,0.0,
799,24.45958,-81.84592,2007-09-29,10.26,
800,24.45968333,-81.90736667,2005-09-27,8.38,
801,24.46022,-81.85707,2010-08-20,5.56,
802,24.46025,-81.8433,2010-08-20,1.28,
803,24.46042,-81.8433,2009-08-28,3.67,
804,24.46045,-81.90416,2011-09-22,45.76,
805,24.46133,-81.84387,2007-09-29,0.0,
806,24.46213,-81.83897,2007-09-29,12.0,
807,24.46258,-81.85295,2008-10-07,1.96,
808,24.4636,-81.90483,2010-08-19,8.62,
809,24.46483,-81.83598,2008-10-07,1.67,
810,24.46563,-81.87922,2011-09-28,44.94,
811,24.46614,-81.83376,2009-09-01,10.14,
812,24.46615,-81.74093,2010-08-24,3.33,
813,24.46623,-81.78989,2012-10-09,0.44,
814,24.46626,-81.82198,2012-10-09,5.8,
815,24.46628,-81.83182,2011-09-29,31.94,
816,24.46636,-82.00192,2016-09-06,17.29,
817,24.46646,-81.78841,2009-10-01,14.0,
818,24.46676,-81.72921,2013-10-16,6.15,
819,24.46678333,-81.8061,2006-09-19,5.21,
820,24.46728,-81.74152,2010-08-25,13.64,
821,24.46791,-81.88676,2008-10-07,3.2,
822,24.46811,-81.8062,2009-09-01,32.18,
823,24.46863,-81.72865,2011-08-16,13.7,
824,24.4695,-81.80288,2015-09-02,66.67,
825,24.46952,-82.03883,2007-10-11,10.19,
826,24.46977,-81.7294,2010-08-25,6.67,
827,24.46997,-81.80247,2011-09-29,24.81,
828,24.47021,-81.87292,2016-09-07,15.33,
829,24.47037,-81.72923,2010-08-25,18.52,
830,24.4706,-81.74897,2010-08-25,12.35,
831,24.47067,-81.74885,2010-08-25,23.93,
832,24.4707,-81.78973,2015-09-02,77.78,
833,24.47071,-81.80207,2014-08-18,46.25,
834,24.47082,-81.72973,2015-09-03,56.25,
835,24.47083,-81.97149,2016-09-06,3.41,
836,24.47158,-81.95377,2012-09-27,1.29,
837,24.47172,-81.7681,2014-08-18,63.38,
838,24.47179,-81.7252,2011-08-16,11.71,
839,24.43484,-81.9301,2009-09-01,5.13,
840,24.43803333,-81.89336667,2006-01-23,1.19,
841,24.4381,-81.90306667,2005-09-27,12.12,
842,24.4387,-81.90661,2010-09-03,19.05,
843,24.4435,-81.93575,2014-08-27,53.57,
844,24.44372,-81.97373,2010-08-18,5.83,
845,24.44389,-81.96155,2015-08-25,36.56,
846,24.44403,-81.96925,2008-10-10,2.08,
847,24.4443,-81.94076,2015-08-25,44.44,
848,24.44498,-81.92841,2016-09-14,12.5,
849,24.445,-81.92278333,2005-09-27,10.0,
850,24.445,-81.92278333,2005-09-27,7.94,
851,24.44515,-81.94286667,2006-02-23,1.67,
852,24.44571,-81.92805,2011-09-08,49.02,
853,24.44581,-81.92246,2009-08-27,26.67,
854,24.44598,-81.95168,2014-08-27,73.08,
855,24.44614,-81.96933,2015-08-25,41.98,
856,24.44614,-81.91779,2016-09-14,16.67,
857,24.4472,-81.90301667,2005-09-27,14.63,
858,24.44768,-81.9165,2010-08-19,9.52,
859,24.44848333,-81.95035,2006-09-05,4.39,
860,24.44893,-81.94965,2010-08-18,10.56,
861,24.44896,-81.93091,2015-08-25,66.67,
862,24.472,-81.76477,2010-08-25,8.05,
863,24.4721,-81.76495,2010-08-24,12.28,
864,24.47253,-81.74947,2014-08-18,56.12,
865,24.47265,-81.75467,2009-10-01,16.94,
866,24.4728,-81.82391,2016-09-07,13.21,
867,24.47297,-81.9499,2010-08-18,5.51,
868,24.47308,-81.86958,2015-10-13,38.55,
869,24.47311,-81.89305,2010-09-03,9.93,
870,24.47336,-81.88201,2008-10-08,5.52,
871,24.47384,-81.75885,2009-10-01,17.83,
872,24.47425,-81.76732,2009-10-01,8.33,
873,24.47432,-81.75642,2008-09-25,7.32,
874,24.47445,-81.89493,2010-09-03,12.7,
875,24.47459,-81.90179,2014-08-27,75.85,
876,24.47467,-81.72742,2008-09-25,4.44,
877,24.4747,-81.73513,2008-09-25,7.09,
878,24.47509,-81.88631,2011-09-22,30.76,
879,24.47559,-81.74506,2012-09-19,0.0,
880,24.4756,-81.83386667,2006-02-24,0.0,
881,24.47573,-81.73532,2009-08-26,33.33,
882,24.47581,-81.73318,2012-09-19,1.19,
883,24.47698,-81.93218,2010-08-19,8.03,
884,24.47702,-81.87536,2009-08-27,7.55,
885,24.47735,-81.89345,2005-08-24,10.59,
