,Lat,Lon,sst_Summer
0,-89.5,-179.5,-1.7999996
1,-89.5,-178.5,-1.7999996
2,-89.5,-177.5,-1.7999996
3,-89.5,-176.5,-1.7999996
4,-89.5,-175.5,-1.7999996
5,-89.5,-174.5,-1.7999996
6,-89.5,-173.5,-1.7999996
7,-89.5,-172.5,-1.7999996
8,-89.5,-171.5,-1.7999996
9,-89.5,-170.5,-1.7999996
10,-89.5,-169.5,-1.7999996
11,-89.5,-168.5,-1.7999996
12,-89.5,-167.5,-1.7999996
13,-89.5,-166.5,-1.7999996
14,-89.5,-165.5,-1.7999996
15,-89.5,-164.5,-1.7999996
16,-89.5,-163.5,-1.7999996
17,-89.5,-162.5,-1.7999996
18,-89.5,-161.5,-1.7999996
19,-89.5,-160.5,-1.7999996
20,-89.5,-159.5,-1.7999996
21,-89.5,-158.5,-1.7999996
22,-89.5,-157.5,-1.7999996
23,-89.5,-156.5,-1.7999996
24,-89.5,-155.5,-1.7999996
25,-89.5,-154.5,-1.7999996
26,-89.5,-153.5,-1.7999996
27,-89.5,-152.5,-1.7999996
28,-89.5,-151.5,-1.7999996
29,-89.5,-150.5,-1.7999996
30,-89.5,-149.5,-1.7999996
31,-89.5,-148.5,-1.7999996
32,-89.5,-147.5,-1.7999996
33,-89.5,-146.5,-1.7999996
34,-89.5,-145.5,-1.7999996
35,-89.5,-144.5,-1.7999996
36,-89.5,-143.5,-1.7999996
37,-89.5,-142.5,-1.7999996
38,-89.5,-141.5,-1.7999996
39,-89.5,-140.5,-1.7999996
40,-89.5,-139.5,-1.7999996
41,-89.5,-138.5,-1.7999996
42,-89.5,-137.5,-1.7999996
43,-89.5,-136.5,-1.7999996
44,-89.5,-135.5,-1.7999996
45,-89.5,-134.5,-1.7999996
46,-89.5,-133.5,-1.7999996
47,-89.5,-132.5,-1.7999996
48,-89.5,-131.5,-1.7999996
49,-89.5,-130.5,-1.7999996
50,-89.5,-129.5,-1.7999996
51,-89.5,-128.5,-1.7999996
52,-89.5,-127.5,-1.7999996
53,-89.5,-126.5,-1.7999996
54,-89.5,-125.5,-1.7999996
55,-89.5,-124.5,-1.7999996
56,-89.5,-123.5,-1.7999996
57,-89.5,-122.5,-1.7999996
58,-89.5,-121.5,-1.7999996
59,-89.5,-120.5,-1.7999996
60,-89.5,-119.5,-1.7999996
61,-89.5,-118.5,-1.7999996
62,-89.5,-117.5,-1.7999996
63,-89.5,-116.5,-1.7999996
64,-89.5,-115.5,-1.7999996
65,-89.5,-114.5,-1.7999996
